GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",7728,7187,6784,6193,7614,7976,8054,11330,10733,7940,5962,6294,6036,6305,6021,6536
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",0,0,0,0,33,62,20,16,22,34,45,29,23,64,69,129
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",2424,2395,2955,3087,3327,3485,3496,4455,4344,4895,5757,5195,5716,6009,7031,7276
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",1780,2083,2308,2066,1812,2062,2358,2167,2164,2124,2128,2000,2126,2078,1978,1790
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",867859,934449,959146,968321,931451,920034,930635,974591,985468,1042152,1066115,1087057,1132117,1094632,1152685,1179307
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",9581,9634,9840,9559,8676,11784,13434,12807,12081,10230,8287,8994,8303,8588,9923,9685
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",629,692,893,895,1015,1179,1379,1072,1295,1313,1350,1380,1679,1641,1856,1993
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",1737,1593,1631,1845,1961,2853,2553,2938,3248,3280,3484,3727,3765,3911,3813,4055
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",593609,601175,582556,570530,531479,508720,472424,487415,518963,563106,595214,597034,586255,602304,606475,616789
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",126,79,87,113,100,157,174,319,300,359,450,515,364,597,761,891
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",32415,43688,48079,50969,52907,46896,51583,49556,43342,37823,34452,29710,28217,25937,27116,25696
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",13897,16317,15324,14561,11321,11033,11109,12089,14506,20700,20388,20666,24652,21468,27887,25577
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1718,2044,2003,1584,311,433,639,999,1284,1084,1164,1167,1672,1494,627,600
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",124334,131758,154972,181813,188476,179741,205344,228639,233530,238991,257966,270906,307844,296125,338277,361251
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",2409,4117,6487,8734,9276,11484,5249,6073,6687,7015,7090,5963,5788,5809,5987,7007
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",972,811,979,880,938,1092,946,1083,1319,1199,1029,1273,1142,770,594,740
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",4005,3252,2982,2951,2793,2747,2837,2915,2877,3135,3966,4012,4493,4523,4186,4259
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",133,229,318,369,471,549,495,441,357,373,427,439,486,393,581,561
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",1,12,12,11,5,7,7,5,9,8,20,0,0,1,0,0
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",194,198,199,13,21,28,27,69,62,64,57,103,145,118,105,83
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",29005,60724,69302,58592,55198,71361,91253,96878,78937,87297,60910,69461,80874,49871,52484,49549
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",12686,16407,19433,18253,18777,19980,21925,22080,20145,21820,22769,26964,31179,28750,29716,28805
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",40406,41719,44049,46647,47725,49990,49257,49212,46525,44356,47091,44742,45259,42318,42283,41752
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",34886,36628,37351,38860,40893,42793,46701,48820,49317,46197,48532,54240,59398,56053,58894,57865
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",6493544,6835548,6835428,7385754,7797833,8277623,8703088,8777681,8213388,9145492,9176539,9527022,8923464,8542928,9266448,9345562
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1188934,1273591,1249213,1319818,1396541,1601333,1688370,1747508,1441377,1466587,1406652,1394568,1422490,1475592,1574318,1642152
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",61178,63938,61714,86382,81465,92485,96351,105168,117661,153660,142992,136390,122762,130765,134822,150821
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",50389,87958,80250,72891,79775,96242,96868,110083,100532,84279,84228,113192,121451,137865,148012,138887
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",5284,5403,5020,7821,7723,7537,7980,8865,7717,7612,9900,8188,8602,8113,7320,9752
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",103908,93399,87350,85128,99523,117636,125361,132155,167163,181654,112440,115620,120423,116154,120765,123079
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",44094,43837,46081,48561,52531,59066,65769,57809,64613,57480,61583,68576,73171,77981,75660,86512
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",198981,255906,224173,224471,222250,254050,234864,246222,216400,224405,234913,275743,292506,309380,335024,352747
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",284576,259492,253312,260256,291436,324040,357104,354910,248693,216636,227762,209496,206999,212407,228425,249719
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",62497,69349,77671,85069,114320,148140,168686,178072,92613,83748,70585,54745,60710,45736,51728,51315
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",103558,110692,119373,138900,137647,170939,197471,188364,119711,122627,121322,106768,113365,123277,155403,146289
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",11741,9013,8438,8815,8413,15599,14463,14742,13117,16069,17779,14780,15355,19177,19204,18328
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",102827,96919,100099,101196,108609,111901,104906,111004,74149,92934,82335,54112,56456,59414,58388,61733
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",8076,7736,8970,10575,12657,15695,20859,23180,24933,30741,35974,37534,38973,41858,44514,49040
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",110398,116746,118878,115250,105810,106467,106034,109856,87201,84629,89904,89215,85623,92012,91036,98375
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1277,1396,1141,1315,2201,1777,2043,2008,1398,1965,1998,2216,1765,2046,2884,2868
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",18909,19252,21865,23615,28483,33552,36043,48696,39931,41066,39765,30044,30077,31895,33740,35785
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",21243,32556,34880,49575,43699,46208,53568,56373,65547,67082,73172,77949,74251,67511,67392,66904
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5021958,5267707,5286381,5748311,6058597,6307576,6620652,6627226,6376348,7304262,7385747,7388353,6777495,6635148,7229709,7230359
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",87453,87325,82217,90070,95424,140420,163657,177084,158613,116128,74416,65655,70766,54434,61153,83437
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",3261,3351,4032,4042,4794,9094,11809,9208,9733,8641,8149,6907,7910,8791,10267,11519
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",3560,3710,3790,4241,4604,6725,6606,6507,6662,6369,7833,8631,10055,8910,9505,9530
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1888654,1912828,1839539,1796534,1726507,1675474,1605439,1657370,1661886,1613118,1604292,1584994,1585679,1583903,1590361,1617111
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",14128,14014,11714,12601,11285,13764,15804,17347,14459,16806,17977,24029,23603,20829,20168,19215
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",460416,554640,618428,679282,733877,692758,767635,690715,593200,577420,575517,602714,572970,544252,669810,683518
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",175105,195022,185467,206212,176156,189970,232057,278447,271156,237384,231948,256181,280929,262720,301417,348162
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",6134,11211,20965,35896,38587,65456,61741,76695,163997,177623,184158,215876,202031,193683,258063,121247
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",859432,821224,845358,1060424,1127712,1064043,1200241,1271849,1309663,2322842,2300595,2314967,1718396,1675916,1897307,1869238
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",27310,47992,67692,82982,100861,148019,96951,126691,102668,121800,127325,132326,132574,152412,187707,203444
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",12810,12968,13613,14789,15233,15859,14988,14679,18463,16833,10609,11329,11591,13606,10526,13892
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",86991,73080,67685,76244,81387,90018,93066,86418,72689,70286,77864,81741,93776,97171,98248,97019
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",22009,24859,25964,4366,3954,3672,3728,2697,2934,2612,2618,2719,1997,2570,2530,4054
